Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,2 bedroom house building plans,build house,,,,,3600,23,0.25,1.00,157000000,Informational,"Image, People Also Ask, Related Searches, Image Pack, Site Links, Video","0.81,1.00,1.00,0.43,0.66,0.01,0.04,0.43,0.36,0.66,0.54,0.54",20,,
us,building a house,build house,,,,,3600,58,2.01,0.48,4890000000,Informational,"Local Pack, Video, Image, Video Carousel, Things To Know, Image Pack, Site Links, People Also Ask, Related Searches, AI Overview","0.19,0.29,0.29,0.19,0.13,0.19,0.16,0.19,0.24,0.16,0.19,0.19",20,,
us,building a new house,new house build,,,,,590,40,2.36,0.58,2360000000,"Informational, Commercial","Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image","0.20,0.62,0.30,0.36,0.30,0.36,0.36,0.45,0.30,0.30,0.24,0.30",20,,
us,build a new house price,new house build,,,,,480,44,0.00,0.10,211,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.00,0.03,0.04,0.37,0.02,0.00,1.00,0.08,0.04,0.13,0.07,0.00",20,,
us,build new house cost per square foot,new house build,,,,,480,21,0.91,0.16,180000000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.36,0.67,1.00,0.67,0.67,0.19,0.36,0.44,0.54,0.54,0.54,0.54",20,,
us,how much does it cost to build a new house,new house build,,,,,480,30,1.21,0.41,1200000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.66,0.66,0.54,0.66,0.66,0.81,0.66,0.44,0.54,0.44,0.44,0.54",20,,
us,new house build price,new house build,,,,,480,48,0.00,0.10,151,Transactional,"Related Searches, AI Overview, Site Links, Video, Video Carousel","0.00,0.20,0.31,0.37,0.02,0.00,1.00,0.84,0.04,0.13,0.07,0.31",20,,
us,build a new house,new house build,,,,,320,31,2.36,0.58,2270000000,Informational,"Adwords Bottom, People Also Ask, Discussions And Forums, Image Pack, Video, Video Carousel, Related Searches, Site Links, Image","0.36,0.20,0.16,0.05,0.13,0.16,0.24,0.30,0.20,0.24,0.20,0.16",20,,
us,homes for sale in dearborn county indiana,dearborn county,,,,,880,11,0.06,0.26,916000,Transactional,"Video, Related Searches","0.67,1.00,0.67,0.76,0.67,0.67,0.45,0.76,0.45,0.76,0.55,1.00",90,,
us,houses for sale in dearborn county indiana,dearborn county,,,,,720,13,0.06,0.26,117,Transactional,Related Searches,"0.45,0.45,0.36,0.55,0.30,0.67,0.67,0.76,0.76,0.67,0.55,1.00",90,,
us,dearborn county homes for sale,dearborn county,,,,,590,13,0.06,0.26,145,Transactional,"Video, Related Searches","0.55,0.76,0.30,0.55,0.76,0.30,0.45,0.45,0.24,0.16,0.24,0.20",90,,
